Commit Hash,Class Name,LOC,LCOM,CBO,ELOC,COH,McCabe,TCC,LCC,HALSTAD,DIT,NOC,RFC,MESSAGE
b985c27c75b76b0332535534e8a68499620598b2,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Mark MonitorIdNodes with a shared MonitorExitNode
f732c6ac98c8791a835eadfeb21f8c53536edbbd,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"[GR-31883] Do not lose allowBufferAccess flag when HostAccess is derived from an existing one."
e29147039c63845810a02a4d6c75f72d7e53cacf,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Fix glibc version comparison.
f8f09e2e2e300551f83bfd292a61dd422d23694c,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Ensure glibc version is parsed correctly.
ca755f3626e0fa3991a57b25f4bb06cd489f98a1,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,FastR: Bump version of fastr-recommended-pkgs.
9117cc11bd347d8e70a956df00477d49b3ac1159,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Move duplicate CustomFieldValueTransformer to SVM core.
2bbd6677cb0d2b51996bb29b8f0ebc573fb84533,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Clear NFI native allocation GC queue before persisting in native image.
821b168b60c40728c4133514cfaec954afc2c196,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Fix asGuestValue needs to unbox polyglot values.
03647b609380876529c2b9fdc563da1c72fef18c,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Fix svm permissions needs to include the new host interop package.
f587d7e610568bbc46556f1d498f5fa673d70afc,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Sulong: Clear thread return value when joining with it
ad90fca6048d4080d2c6392d7aed29cdfe4981db,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"Sulong: Override RootNode.isInternal() to return a PE-constant value This fixes a performance warning due to a non PE-constant default implementation of isInternal() in Truffle."
edae1cab752b08860d6cde5d2020d0bd84e291b2,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Sulong: Formatting
2836f3252aab7a0289cc7bcbf5c4e204e4151e3a,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Sulong: Clear thread objects on join instead of on task completion
8586c2e86016c964d341abbd048209c4cca74708,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Add bench-common.libsonnet to share benchmarking building blocks
7984c4d6840023a29e4695e1333f520e7b34999a,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Fix host contexts must be patched too.
c1753d6c52201a590cff1158ff9333d907f42edb,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Improve host/guest separation for entry point. Better handling for primitives and host values when they come back from the guest.
c5b291f6e6d6089d9b1d650225e62daf7798b544,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Support null language for guest exception frames when the language is not available locally.
944b326bdb530528cfb4f3a40e4ab5aec7d5f9da,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,"Cleanups, simplifications, and minor bugfixes."
2b9c085e194fdc6f78ac4ff70a2ac5acc5cc8d1d,GraalDirectives,439,1035,0,258,0,46,0,0,2541,0,0,48,Fix typo in test.
