Commit Hash,Class Name,LOC,LCOM,CBO,ELOC,COH,McCabe,TCC,HALSTAD,DIT,NOC,RFC,MESSAGE
8217d359e077c2f73c4596e0e7c4445b2bab9401,BaseSslContextFactory,235,27,33,130,0,14,1,1504,0,0,69,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ClientSslContextFactory,81,6,7,34,0,4,0,408,1,0,15,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,SslContextFactory,37,10,4,10,0,5,0,118,0,0,5,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,OriginTimeoutManager,116,8,12,58,0,5,0,895,0,0,24,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,RequestAttempt,379,507,14,254,0,38,2,1855,0,0,84,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,RequestAttempts,93,13,10,45,0,6,0,424,1,0,17,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,BasicNettyOrigin,250,260,32,122,0,25,0,1354,0,0,59,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,BasicNettyOriginManager,55,0,5,17,0,3,0,320,0,0,4,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,InstrumentedOrigin,49,21,2,18,0,7,0,273,0,0,7,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,NettyOrigin,73,78,13,18,0,13,0,409,0,0,13,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,Origin,27,3,0,8,0,3,0,62,0,0,3,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,OriginConcurrencyExceededException,28,0,1,5,0,1,0,53,1,0,1,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,OriginManager,30,1,1,7,0,2,0,99,0,0,2,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,OriginName,159,6,3,88,0,12,1,1782,0,0,21,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,OriginStats,60,0,5,29,1,2,0,443,0,0,7,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,OriginThrottledException,45,0,3,16,0,3,0,137,1,0,5,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,CurrentPassport,528,201,24,313,0,31,4,2294,0,0,135,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PassportItem,45,0,0,17,0,4,1,115,0,0,4,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,StartAndEnd,41,2,0,16,0,4,0,88,0,0,4,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,Tracer,76,6,5,37,0,4,0,382,1,0,9,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,RequestCompleteHandler,24,0,2,3,0,1,0,28,0,0,1,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,StaticFilterLoader,158,17,28,78,0,7,0,896,0,0,32,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,AmazonInfoHolder,35,1,1,12,0,2,0,112,0,0,2,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,BasicRequestMetricsPublisher,33,0,1,7,0,1,0,78,0,0,1,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ErrorStatsData,88,5,5,44,0,6,0,654,0,0,17,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ErrorStatsManager,87,1,3,52,0,3,0,496,0,0,10,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,Monitor,30,0,0,11,0,1,0,125,0,0,1,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,MonitorRegistry,47,1,0,21,0,3,0,306,0,0,4,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,NamedCount,27,1,0,8,0,2,0,78,0,0,2,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,NamedCountingMonitor,73,6,6,35,0,5,0,276,0,0,14,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,RequestMetricsPublisher,28,0,1,6,0,1,0,56,0,0,1,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,RouteStatusCodeMonitor,93,5,8,49,0,6,0,521,0,0,16,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,StatsManager,252,49,10,159,0,11,0,1819,0,0,52,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,StatusCategory,31,3,0,8,0,3,0,70,0,0,3,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,StatusCategoryGroup,29,1,0,7,0,2,0,68,0,0,2,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,StatusCategoryUtils,71,21,6,37,0,7,0,374,0,0,18,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,Gzipper,96,0,7,58,0,5,1,504,0,0,22,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,HttpUtils,178,66,11,119,0,12,0,1373,0,0,45,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,JsonUtility,151,1,3,98,0,2,0,1065,0,0,22,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ProxyUtils,89,6,7,45,0,4,0,367,0,0,16,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,VipUtils,55,6,0,32,0,4,0,392,0,0,12,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ZuulApplicationInfo,43,2,0,20,0,4,0,182,0,0,4,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,CloseOnIdleStateHandlerTest,55,0,12,16,1,2,0,139,0,0,11,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,HttpServerLifecycleChannelHandlerTest,75,1,9,27,0,2,0,186,0,0,20,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,InstrumentedResourceLeakDetectorTest,48,0,6,14,1,2,0,82,0,0,5,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ElbProxyProtocolChannelHandlerTest,266,0,27,130,0,9,4,600,0,0,124,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,HAProxyMessageChannelHandlerTest,70,0,14,20,0,1,0,180,0,0,17,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,StripUntrustedProxyHeadersHandlerTest,157,0,24,68,0,10,4,458,0,0,71,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,SourceAddressChannelHandlerTest,116,10,17,49,0,5,0,425,0,0,31,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,MaxInboundConnectionsHandlerTest,65,0,15,19,1,2,0,152,0,0,15,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,AttrsTest,90,21,8,42,0,7,0,169,0,0,37,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,PushConnectionTest,83,10,4,48,0,5,0,245,0,0,20,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,DebugTest,180,0,25,79,0,9,3,572,0,0,78,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,SessionContextTest,33,0,4,7,0,1,0,48,0,0,3,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,DynamicFilterLoaderTest,150,0,20,71,0,6,2,579,0,0,44,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,FilterFileManagerTest,71,1,14,22,0,2,0,203,0,0,13,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,BaseFilterTest,79,1,9,31,0,2,0,311,0,0,7,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,GZipResponseFilterTest,121,0,23,55,0,4,1,471,0,0,45,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,HeadersTest,721,1326,17,488,0,52,0,1987,0,0,355,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,HttpQueryParamsTest,148,45,6,81,0,10,0,367,0,0,45,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,HttpRequestMessageImplTest,382,22,22,218,0,13,2,947,0,0,78,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,HttpResponseMessageImplTest,68,0,10,25,0,3,1,238,0,0,16,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ZuulMessageImplTest,147,36,9,94,0,9,0,392,0,0,70,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ConnCounterTest,76,1,11,32,0,2,0,206,0,0,23,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ConnTimerTest,62,0,11,22,0,1,0,158,0,0,13,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,DefaultClientChannelManagerTest,150,15,24,62,0,6,0,457,0,0,84,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ServerStateHandlerTest,104,0,15,45,0,4,1,258,0,0,28,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,BaseZuulChannelInitializerTest,122,15,18,61,0,6,0,308,0,0,21,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,ClientRequestReceiverTest,256,21,33,143,0,7,0,835,0,0,108,core: make session context final
8217d359e077c2f73c4596e0e7c4445b2bab9401,Http2ContentLengthEnforcingHandlerTest,126,6,15,57,0,4,0,221,0,0,40,core: make session context final
